Time,EMG_zyg,EMG_cor
0.0005,0.070495605,0.029602051
0.001,0.086669922,0.041503906
0.0015,0.094299316,0.047302246
0.002,0.102844238,0.053100586
0.0025,0.118103027,0.063476563
0.003,0.129089355,0.075073242
0.0035,0.129089355,0.077819824
0.004,0.12298584,0.075683594
0.0045,0.114746094,0.075378418
0.005,0.109863281,0.073242188
0.0055,0.09765625,0.07232666
0.006,0.085144043,0.067749023
0.0065,0.062866211,0.061645508
0.007,0.035095215,0.050048828
0.0075,0.010375977,0.037231445
0.008,-0.003356934,0.028686523
0.0085,-0.008850098,0.027160645
0.009,-0.027770996,0.019836426
0.0095,-0.050964355,0.004882813
0.01,-0.062866211,-0.003662109
0.0105,-0.074157715,-0.01373291
0.011,-0.088195801,-0.031433105
0.0115,-0.098266602,-0.051574707
0.012,-0.106811523,-0.070495605
0.0125,-0.120239258,-0.086364746
0.013,-0.132751465,-0.103149414
0.0135,-0.133056641,-0.108642578
0.014,-0.127563477,-0.102844238
0.0145,-0.121154785,-0.097351074
0.015,-0.110778809,-0.095214844
0.0155,-0.100097656,-0.090026855
0.016,-0.092468262,-0.08605957
0.0165,-0.072937012,-0.079040527
0.017,-0.044250488,-0.063171387
0.0175,-0.01739502,-0.045776367
0.018,0.000610352,-0.029602051
0.0185,0.007629395,-0.02166748
0.019,0.028076172,-0.00793457
0.0195,0.050964355,0.007324219
0.02,0.062561035,0.016784668
0.0205,0.075378418,0.026855469
0.021,0.089416504,0.036621094
0.0215,0.097351074,0.04486084
0.022,0.106201172,0.054016113
0.0225,0.122070313,0.064697266
0.023,0.134887695,0.076599121
0.0235,0.135803223,0.08605957
0.024,0.128479004,0.089416504
0.0245,0.121459961,0.08972168
0.025,0.115356445,0.087890625
0.0255,0.10559082,0.083618164
0.026,0.091247559,0.076599121
0.0265,0.068969727,0.065917969
0.027,0.042419434,0.055236816
0.0275,0.018310547,0.039978027
0.028,0.001220703,0.029602051
0.0285,-0.003356934,0.022277832
0.029,-0.021362305,0.009765625
0.0295,-0.043334961,-0.008850098
0.03,-0.058288574,-0.022277832
0.0305,-0.071105957,-0.032043457
0.031,-0.08392334,-0.047302246
0.0315,-0.093994141,-0.06072998
0.032,-0.101623535,-0.071411133
0.0325,-0.11505127,-0.081787109
0.033,-0.12878418,-0.094299316
0.0335,-0.13092041,-0.097961426
0.034,-0.12512207,-0.096130371
0.0345,-0.118408203,-0.092773438
0.035,-0.107727051,-0.086364746
0.0355,-0.094909668,-0.076904297
0.036,-0.086975098,-0.07232666
0.0365,-0.067749023,-0.065612793
0.037,-0.037536621,-0.05065918
0.0375,-0.012207031,-0.033569336
0.038,0.003967285,-0.018005371
0.0385,0.014038086,-0.014038086
0.039,0.032348633,-0.004272461
0.0395,0.055236816,0.009460449
0.04,0.068359375,0.022277832
0.0405,0.081787109,0.034484863
0.041,0.094604492,0.042419434
0.0415,0.104675293,0.053405762
0.042,0.112609863,0.062561035
0.0425,0.127868652,0.074768066
0.043,0.140686035,0.086364746
0.0435,0.140380859,0.090026855
0.044,0.133666992,0.08605957
0.0445,0.127563477,0.081481934
0.045,0.11932373,0.074157715
0.0455,0.10925293,0.061950684
0.046,0.093078613,0.05065918
0.0465,0.071411133,0.041809082
0.047,0.044250488,0.030212402
0.0475,0.020751953,0.019836426
0.048,0.006103516,0.011901855
0.0485,0.000305176,0.006103516
0.049,-0.021972656,-0.004882813
0.0495,-0.043945313,-0.01953125
0.05,-0.061035156,-0.031738281
0.0505,-0.072631836,-0.042114258
0.051,-0.08605957,-0.051879883
