Time,EMG_zyg,EMG_cor
0.0005,0.135803223,0.115661621
0.001,0.13671875,0.130004883
0.0015,0.1171875,0.120849609
0.002,0.119628906,0.117492676
0.0025,0.118408203,0.119018555
0.003,0.101318359,0.109863281
0.0035,0.090026855,0.102539063
0.004,0.070495605,0.094604492
0.0045,0.0390625,0.076599121
0.005,0.007629395,0.054321289
0.0055,-0.003051758,0.038452148
0.006,-0.020446777,0.023193359
0.0065,-0.033874512,0.003356934
0.007,-0.053100586,-0.018310547
0.0075,-0.068969727,-0.037536621
0.008,-0.087280273,-0.058288574
0.0085,-0.120849609,-0.089111328
0.009,-0.130310059,-0.108947754
0.0095,-0.114440918,-0.102539063
0.01,-0.111083984,-0.099487305
0.0105,-0.151367188,-0.131530762
0.011,-0.154724121,-0.147094727
0.0115,-0.140380859,-0.137939453
0.012,-0.140991211,-0.137939453
0.0125,-0.137329102,-0.132141113
0.013,-0.119628906,-0.121765137
0.0135,-0.106506348,-0.110168457
0.014,-0.090026855,-0.09552002
0.0145,-0.054321289,-0.072021484
0.015,-0.023498535,-0.045471191
0.0155,-0.007019043,-0.02746582
0.016,0.003051758,-0.009765625
0.0165,0.015258789,0.008239746
0.017,0.036621094,0.025634766
0.0175,0.053405762,0.033874512
0.018,0.072021484,0.044555664
0.0185,0.101928711,0.067443848
0.019,0.112609863,0.083312988
0.0195,0.099182129,0.081481934
0.02,0.095214844,0.08026123
0.0205,0.138549805,0.111999512
0.021,0.144042969,0.130004883
0.0215,0.128479004,0.11932373
0.022,0.128479004,0.115661621
0.0225,0.127563477,0.11505127
0.023,0.110473633,0.104370117
0.0235,0.097045898,0.091552734
0.024,0.07598877,0.078125
0.0245,0.046691895,0.058898926
0.025,0.014648438,0.030822754
0.0255,0.000915527,0.011291504
0.026,-0.012512207,0
0.0265,-0.027160645,-0.014343262
0.027,-0.047912598,-0.034179688
0.0275,-0.063171387,-0.04699707
0.028,-0.081176758,-0.058898926
0.0285,-0.116882324,-0.088500977
0.029,-0.124511719,-0.104980469
0.0295,-0.108642578,-0.097351074
0.03,-0.10345459,-0.091247559
0.0305,-0.142822266,-0.116271973
0.031,-0.145568848,-0.13092041
0.0315,-0.129699707,-0.12512207
0.032,-0.13092041,-0.124511719
0.0325,-0.129394531,-0.123291016
0.033,-0.111083984,-0.108947754
0.0335,-0.104370117,-0.101623535
0.034,-0.084533691,-0.086975098
0.0345,-0.053405762,-0.059509277
0.035,-0.020446777,-0.032348633
0.0355,-0.004882813,-0.009765625
0.036,0.010070801,0.002441406
0.0365,0.020446777,0.016174316
0.037,0.039978027,0.034484863
0.0375,0.060424805,0.049133301
0.038,0.078430176,0.059814453
0.0385,0.107727051,0.082702637
0.039,0.117797852,0.098266602
0.0395,0.102233887,0.09185791
0.04,0.098571777,0.08972168
0.0405,0.141296387,0.112915039
0.041,0.146789551,0.121765137
0.0415,0.127563477,0.110168457
0.042,0.127563477,0.107727051
0.0425,0.126647949,0.112609863
0.043,0.109558105,0.105285645
0.0435,0.09979248,0.093994141
0.044,0.079345703,0.078430176
0.0445,0.04699707,0.05859375
0.045,0.019226074,0.037536621
0.0455,0.00213623,0.021972656
0.046,-0.011291504,0.013427734
0.0465,-0.028686523,-0.000610352
0.047,-0.050048828,-0.018920898
0.0475,-0.065612793,-0.034790039
0.048,-0.082092285,-0.05065918
0.0485,-0.11505127,-0.074768066
0.049,-0.127258301,-0.083312988
0.0495,-0.109863281,-0.075683594
0.05,-0.104370117,-0.073852539
0.0505,-0.145568848,-0.107421875
0.051,-0.152893066,-0.127868652
0.0515,-0.137023926,-0.126647949
0.052,-0.13458252,-0.123596191
0.0525,-0.133056641,-0.120544434
0.053,-0.113220215,-0.110778809
0.0535,-0.104064941,-0.102844238
0.054,-0.088500977,-0.090026855
0.0545,-0.05645752,-0.05859375
0.055,-0.026550293,-0.033874512
0.0555,-0.007324219,-0.010375977
0.056,0.00213623,0.003662109
0.0565,0.013122559,0.016174316
0.057,0.034179688,0.029602051
0.0575,0.051879883,0.043640137
0.058,0.067138672,0.055541992
0.0585,0.100097656,0.08026123
0.059,0.111694336,0.093688965
0.0595,0.09185791,0.084533691
0.06,0.088195801,0.076293945
0.0605,0.130310059,0.098876953
0.061,0.135192871,0.11138916
0.0615,0.115661621,0.10345459
0.062,0.113830566,0.10345459
0.0625,0.113525391,0.106201172
0.063,0.092163086,0.097961426
0.0635,0.08026123,0.090332031
0.064,0.061950684,0.077819824
0.0645,0.032653809,0.057373047
0.065,0.004882813,0.031433105
0.0655,-0.012512207,0.010986328
0.066,-0.023498535,0.001220703
0.0665,-0.03692627,-0.01373291
0.067,-0.055236816,-0.031738281
0.0675,-0.069274902,-0.045166016
0.068,-0.084533691,-0.060424805
0.0685,-0.11505127,-0.089111328
0.069,-0.123901367,-0.105895996
0.0695,-0.10345459,-0.097045898
0.07,-0.093688965,-0.088500977
0.0705,-0.124816895,-0.108337402
0.071,-0.130004883,-0.119628906
0.0715,-0.118713379,-0.114440918
0.072,-0.13092041,-0.12298584
0.0725,-0.133056641,-0.127563477
0.073,-0.110778809,-0.115966797
0.0735,-0.09979248,-0.10559082
0.074,-0.086364746,-0.095825195
0.0745,-0.051269531,-0.075073242
0.075,-0.019836426,-0.050048828
0.0755,-0.000610352,-0.028381348
0.076,0.008850098,-0.01373291
0.0765,0.015258789,0.00213623
0.077,0.039367676,0.023498535
0.0775,0.05859375,0.043029785
0.078,0.077209473,0.065002441
0.0785,0.107421875,0.08972168
0.079,0.119628906,0.106201172
0.0795,0.104370117,0.094604492
0.08,0.09979248,0.086364746
0.0805,0.139770508,0.110473633
0.081,0.149536133,0.129699707
0.0815,0.129089355,0.117492676
0.082,0.127258301,0.114746094
0.0825,0.130004883,0.118103027
0.083,0.113220215,0.108947754
0.0835,0.101013184,0.099487305
0.084,0.080871582,0.084838867
0.0845,0.048217773,0.061645508
0.085,0.020141602,0.039672852
0.0855,-0.002441406,0.018920898
0.086,-0.013122559,0.008239746
0.0865,-0.026855469,-0.007629395
0.087,-0.045776367,-0.021972656
