Time,EMG_zyg,EMG_cor
0.0005,-0.00213623,-0.000305176
0.001,0.003662109,0.003967285
0.0015,0.003051758,0.008239746
0.002,0.002441406,0.005187988
0.0025,0.010681152,0.003051758
0.003,0.014648438,0.000305176
0.0035,0.018005371,0.002746582
0.004,0.020751953,0.00213623
0.0045,0.01739502,0.002746582
0.005,0.019836426,0.003967285
0.0055,0.024719238,0.006103516
0.006,0.029296875,0.008850098
0.0065,0.023803711,0.007019043
0.007,0.017700195,0.005493164
0.0075,0.018615723,0.003662109
0.008,0.018005371,0.00213623
0.0085,0.021362305,-0.000915527
0.009,0.01953125,-0.001831055
0.0095,0.012207031,-0.000915527
0.01,0.003356934,-0.000305176
0.0105,-0.003356934,-0.000610352
0.011,-0.006103516,0.002441406
0.0115,-0.011291504,0.007629395
0.012,-0.013427734,0.011291504
0.0125,-0.014953613,0.009155273
0.013,-0.016174316,0.00793457
0.0135,-0.023193359,0.003967285
0.014,-0.030517578,-0.004272461
0.0145,-0.028076172,-0.007019043
0.015,-0.025024414,-0.006408691
0.0155,-0.032043457,-0.007629395
0.016,-0.038146973,-0.009155273
0.0165,-0.032348633,-0.011291504
0.017,-0.031738281,-0.01159668
0.0175,-0.030212402,-0.010681152
0.018,-0.023803711,-0.009765625
0.0185,-0.01739502,-0.009155273
0.019,-0.013427734,-0.013122559
0.0195,-0.010986328,-0.015258789
0.02,-0.006408691,-0.012817383
0.0205,-0.003662109,-0.012207031
0.021,-0.000915527,-0.007019043
0.0215,0.001831055,-0.004272461
0.022,0.007324219,-0.005493164
0.0225,0.009460449,-0.004882813
0.023,0.011901855,-0.003051758
0.0235,0.017700195,0.002746582
0.024,0.025939941,0.006103516
0.0245,0.024719238,0.007019043
0.025,0.023803711,0.008544922
0.0255,0.032043457,0.01159668
0.026,0.037841797,0.012207031
0.0265,0.034484863,0.006408691
0.027,0.028991699,0.00213623
0.0275,0.02746582,0.00213623
0.028,0.019836426,0.000610352
0.0285,0.018310547,0.00579834
0.029,0.018005371,0.006408691
0.0295,0.015869141,0.00793457
0.03,0.014648438,0.010681152
0.0305,0.012817383,0.009765625
0.031,0.00793457,0.008850098
0.0315,0.001525879,0.008850098
0.032,-0.006408691,0.009155273
0.0325,-0.012207031,0.006713867
0.033,-0.019226074,0.005493164
0.0335,-0.024414063,0.003051758
0.034,-0.028381348,-0.001220703
0.0345,-0.024719238,-0.004272461
0.035,-0.022277832,-0.009460449
0.0355,-0.029296875,-0.014953613
0.036,-0.034790039,-0.016174316
0.0365,-0.028076172,-0.019836426
0.037,-0.021972656,-0.023193359
0.0375,-0.021972656,-0.024719238
0.038,-0.017089844,-0.019226074
0.0385,-0.015258789,-0.019836426
0.039,-0.018615723,-0.020141602
0.0395,-0.014038086,-0.018920898
0.04,-0.00579834,-0.014648438
0.0405,-0.001525879,-0.007629395
0.041,0.003967285,-0.003967285
0.0415,0.00579834,-0.002746582
0.042,0.009155273,0
0.0425,0.013122559,0.005493164
0.043,0.015563965,0.003967285
0.0435,0.02166748,0.002746582
0.044,0.025634766,0.003662109
0.0445,0.022583008,0.004577637
0.045,0.020751953,0.004577637
0.0455,0.024719238,0.006408691
0.046,0.032043457,0.003051758
0.0465,0.027770996,0.001220703
0.047,0.022888184,0.003051758
0.0475,0.021972656,0.006713867
