,Time,EMG_zyg,EMG_cor
0,0.0005,-0.007629395,0.003662109
1,0.001,-0.008239746,0.003051758
2,0.0015,-0.010986328,0.009155273
3,0.002,-0.001525879,0.01373291
4,0.0025,-0.000305176,0.013122559
5,0.003,-0.003662109,0.011901855
6,0.0035,0.000915527,0.012512207
7,0.004,0.008239746,0.012817383
8,0.0045,0.016174316,0.011291504
9,0.005,0.017089844,0.010986328
10,0.0055,0.023803711,0.009765625
11,0.006,0.03692627,0.010070801
12,0.0065,0.036010742,0.010070801
13,0.007,0.02746582,0.004272461
14,0.0075,0.03112793,0.001525879
15,0.008,0.043945313,0.004882813
16,0.0085,0.042114258,0.004577637
17,0.009,0.035400391,0.006103516
18,0.0095,0.037841797,0.004272461
19,0.01,0.038146973,0.005187988
20,0.0105,0.033874512,0.000915527
21,0.011,0.032653809,-0.000915527
22,0.0115,0.025939941,0.0
23,0.012,0.012512207,0.00213623
24,0.0125,0.003967285,-0.003662109
25,0.013,0.000915527,-0.003662109
26,0.0135,-0.001220703,-0.009155273
27,0.014,-0.000610352,-0.01159668
28,0.0145,-0.003356934,-0.002746582
29,0.015,-0.006713867,0.002746582
30,0.0155,-0.008544922,0.013427734
31,0.016,-0.016784668,0.025634766
32,0.0165,-0.020141602,0.037536621
33,0.017,-0.018310547,0.045166016
34,0.0175,-0.016784668,0.045471191
35,0.018,-0.029602051,0.048828125
36,0.0185,-0.032348633,0.04486084
37,0.019,-0.030517578,0.038757324
38,0.0195,-0.030212402,0.02746582
39,0.02,-0.02746582,0.004577637
40,0.0205,-0.022583008,-0.009460449
41,0.021,-0.022277832,-0.014038086
42,0.0215,-0.018920898,-0.016479492
43,0.022,-0.011291504,-0.015563965
44,0.0225,-0.004577637,-0.015563965
45,0.023,-0.001525879,-0.006408691
46,0.0235,0.006103516,-0.004272461
47,0.024,0.008544922,-0.007324219
48,0.0245,0.015258789,-0.010375977
49,0.025,0.020751953,-0.013122559
50,0.0255,0.022277832,-0.013427734
51,0.026,0.024414063,-0.011291504
52,0.0265,0.025634766,-0.013427734
53,0.027,0.024414063,-0.020751953
54,0.0275,0.027770996,-0.014953613
55,0.028,0.040588379,-0.000915527
56,0.0285,0.039672852,0.004882813
57,0.029,0.032348633,0.007629395
58,0.0295,0.030212402,0.012512207
59,0.03,0.034179688,0.01373291
60,0.0305,0.028076172,0.018615723
61,0.031,0.024108887,0.01953125
62,0.0315,0.022277832,0.015869141
63,0.032,0.019836426,0.019836426
64,0.0325,0.01373291,0.02166748
65,0.033,0.006713867,0.02166748
66,0.0335,-0.001831055,0.01953125
67,0.034,-0.00793457,0.018005371
68,0.0345,-0.014953613,0.010681152
69,0.035,-0.017089844,0.002746582
70,0.0355,-0.022583008,-0.004272461
71,0.036,-0.03112793,-0.003356934
72,0.0365,-0.025939941,0.001525879
73,0.037,-0.015869141,0.005493164
74,0.0375,-0.015563965,0.008239746
75,0.038,-0.02746582,0.00793457
76,0.0385,-0.025634766,0.006103516
77,0.039,-0.021057129,0.003662109
78,0.0395,-0.024108887,-0.001831055
79,0.04,-0.027770996,-0.007629395
80,0.0405,-0.025024414,-0.010070801
81,0.041,-0.025634766,-0.010375977
82,0.0415,-0.019226074,-0.014343262
83,0.042,-0.00579834,-0.019836426
84,0.0425,0.001525879,-0.020751953
85,0.043,0.008239746,-0.012207031
86,0.0435,0.006713867,-0.010986328
87,0.044,0.006408691,-0.017700195
88,0.0445,0.014038086,-0.010070801
89,0.045,0.021362305,-0.000305176
90,0.0455,0.021972656,0.008239746
91,0.046,0.023193359,0.018310547
92,0.0465,0.023193359,0.024108887
93,0.047,0.025634766,0.027160645
94,0.0475,0.029296875,0.03112793
95,0.048,0.042419434,0.028381348
96,0.0485,0.037841797,0.023803711
97,0.049,0.029907227,0.018005371
98,0.0495,0.03112793,0.010986328
99,0.05,0.027160645,0.005187988
100,0.0505,0.021362305,0.004882813
101,0.051,0.021972656,0.005187988
102,0.0515,0.016784668,0.010986328
103,0.052,0.007629395,0.012817383
104,0.0525,0.0,0.011901855
105,0.053,-0.003662109,0.010986328
106,0.0535,-0.008239746,0.010070801
107,0.054,-0.014038086,0.012207031
108,0.0545,-0.018310547,0.008239746
109,0.055,-0.020751953,0.004272461
110,0.0555,-0.025939941,-0.00213623
111,0.056,-0.032043457,-0.008850098
112,0.0565,-0.027770996,-0.004882813
113,0.057,-0.020446777,-0.00793457
114,0.0575,-0.022583008,-0.007324219
115,0.058,-0.033874512,-0.016174316
116,0.0585,-0.034790039,-0.017089844
117,0.059,-0.029296875,-0.018615723
118,0.0595,-0.029602051,-0.022888184
119,0.06,-0.031738281,-0.033874512
120,0.0605,-0.025939941,-0.04119873
121,0.061,-0.024108887,-0.042419434
122,0.0615,-0.017700195,-0.043029785
123,0.062,-0.006103516,-0.042724609
124,0.0625,0.00213623,-0.034790039
125,0.063,0.004577637,-0.02532959
126,0.0635,0.009460449,-0.020751953
127,0.064,0.007019043,-0.007629395
128,0.0645,0.010375977,0.003356934
129,0.065,0.01739502,0.009460449
130,0.0655,0.022277832,0.019836426
131,0.066,0.026855469,0.021972656
132,0.0665,0.026855469,0.020751953
133,0.067,0.023193359,0.017089844
134,0.0675,0.025939941,0.017700195
135,0.068,0.036010742,0.013122559
136,0.0685,0.032958984,0.013427734
137,0.069,0.027770996,0.023193359
138,0.0695,0.026855469,0.018615723
139,0.07,0.032043457,0.015869141
140,0.0705,0.02746582,0.01373291
141,0.071,0.02746582,0.01159668
142,0.0715,0.023498535,0.013427734
143,0.072,0.012207031,0.010986328
144,0.0725,0.002441406,0.007324219
145,0.073,-0.001220703,0.004577637
146,0.0735,-0.00213623,0.001220703
147,0.074,-0.001831055,-0.000610352
148,0.0745,-0.004577637,-0.005187988
149,0.075,-0.010375977,-0.005187988
150,0.0755,-0.018920898,-0.011901855
151,0.076,-0.029296875,-0.014343262
152,0.0765,-0.033569336,-0.014648438
